,city,Cloudiness,Humidity,Wind Speed,Temp Max,Date,Country,Latitude,Longitude
0,rikitea,55,73,7.38,77.45,1587507746,PF,-23.12,-134.97
1,punta arenas,89,53,44.96,50.0,1587507505,CL,-53.15,-70.92
2,sur,89,39,10.45,87.28,1587507680,OM,22.57,59.53
3,alofi,75,66,13.87,84.2,1587507747,NU,-19.06,-169.92
4,weiden,1,43,8.05,50.0,1587507747,DE,49.68,12.16
5,ushuaia,75,81,33.33,42.8,1587507539,AR,-54.8,-68.3
6,abha,0,87,6.93,59.0,1587507748,SA,18.22,42.51
7,butaritari,77,79,10.74,82.35,1587507308,KI,3.07,172.79
8,arraial do cabo,1,83,4.7,73.4,1587507748,BR,-22.97,-42.03
9,avarua,3,74,14.99,82.4,1587507701,CK,-21.21,-159.78
10,albany,75,42,13.87,46.99,1587507493,US,42.6,-73.97
11,bluff,92,94,4.0,53.01,1587507514,NZ,-46.6,168.33
12,mataura,97,93,5.99,53.01,1587507635,NZ,-46.19,168.86
13,beringovskiy,8,93,10.38,12.22,1587507750,RU,63.05,179.32
14,dicabisagan,98,82,4.29,77.72,1587507751,PH,17.08,122.42
15,santiago,40,41,4.7,80.6,1587507685,CL,-33.46,-70.65
16,tasiilaq,100,90,25.28,33.8,1587507262,GL,65.61,-37.64
17,nome,1,73,5.82,27.0,1587507752,US,64.5,-165.41
18,bengkulu,50,82,3.62,77.7,1587507491,ID,-3.8,102.27
19,yakima,1,21,9.17,71.6,1587507753,US,46.47,-120.67
20,iquique,0,68,14.99,68.0,1587507753,CL,-20.22,-70.14
21,omihachiman,95,64,1.99,44.01,1587507754,JP,35.13,136.1
22,port keats,84,78,3.24,80.13,1587507754,AU,-14.25,129.55
23,kaohsiung,40,83,8.05,73.4,1587507754,TW,22.62,120.31
24,hobart,20,50,17.22,54.0,1587507490,AU,-42.88,147.33
25,ola,44,87,8.25,15.66,1587507755,RU,59.58,151.28
26,busselton,97,83,15.82,62.01,1587507755,AU,-33.65,115.33
27,asilah,20,82,11.41,59.0,1587507756,MA,35.47,-6.03
28,east london,99,87,6.31,68.32,1587507637,ZA,-33.02,27.91
29,victoria,20,88,10.29,77.0,1587507255,HK,22.29,114.16
30,barao de melgaco,40,58,4.7,84.2,1587507757,BR,-16.19,-55.97
31,san patricio,40,83,9.17,80.6,1587507758,MX,19.22,-104.7
32,araouane,43,12,7.14,83.48,1587507586,ML,18.9,-3.53
33,alice springs,26,34,8.03,64.4,1587507458,AU,-23.7,133.88
34,kununurra,0,94,1.81,73.4,1587507564,AU,-15.77,128.73
35,lasa,40,87,8.05,42.8,1587507759,IT,46.62,10.7
36,namibe,40,79,1.59,75.83,1587507760,AO,-15.2,12.15
37,chuy,6,84,9.46,66.25,1587507760,UY,-33.7,-53.46
38,puerto ayora,20,66,17.22,86.0,1587507760,EC,-0.74,-90.35
39,bredasdorp,0,82,5.82,55.4,1587507511,ZA,-34.53,20.04
40,wakkanai,40,68,35.46,39.22,1587507761,JP,45.41,141.67
41,torbay,75,96,18.34,34.0,1587507527,CA,47.67,-52.73
42,rio grande,31,86,1.99,68.0,1587507612,BR,-32.03,-52.1
43,ossora,90,92,3.74,19.9,1587507762,RU,59.24,163.07
44,provideniya,4,66,2.24,14.0,1587507763,RU,64.38,-173.3
45,vaini,75,74,10.29,82.4,1587507763,TO,-21.2,-175.2
46,ipixuna,75,83,5.82,80.6,1587507764,BR,-1.76,-48.8
47,tuktoyaktuk,75,77,18.34,6.8,1587507523,CA,69.45,-133.04
48,evensk,85,90,6.13,18.57,1587507764,RU,61.95,159.23
49,barsovo,72,100,6.71,37.4,1587507765,RU,61.17,73.17
50,tres arroyos,100,43,7.87,58.41,1587507765,AR,-38.37,-60.28
51,thompson,75,93,6.93,32.0,1587507317,CA,55.74,-97.86
52,jumla,96,32,1.7,43.14,1587507270,NP,29.27,82.18
53,dullewala,4,34,3.44,79.52,1587507766,PK,31.84,71.44
54,hilo,1,51,18.34,84.2,1587507522,US,19.73,-155.09
55,sainte-marie,20,73,12.75,73.4,1587507767,RE,-20.9,55.55
56,ribeira grande,100,75,13.6,60.62,1587507768,PT,38.52,-28.7
57,yantarnyy,0,100,4.47,37.4,1587507768,RU,54.87,19.94
58,lysyye gory,100,83,16.6,38.43,1587507768,RU,51.55,44.84
59,nanortalik,73,75,12.57,39.92,1587507769,GL,60.14,-45.24
60,port augusta,0,93,3.36,59.0,1587507769,AU,-32.5,137.77
61,brae,20,93,6.93,42.8,1587507588,GB,60.4,-1.35
62,nemuro,22,79,17.47,40.06,1587507770,JP,43.32,145.57
63,nogliki,100,98,31.18,30.06,1587507770,RU,51.83,143.17
64,ancud,80,81,5.82,50.0,1587507771,CL,-41.87,-73.82
65,george,86,87,3.36,57.2,1587507742,ZA,-33.96,22.46
66,broken hill,0,47,2.24,57.2,1587507772,AU,-31.95,141.43
67,atuona,0,68,12.86,82.02,1587507772,PF,-9.8,-139.03
68,sitka,90,81,9.17,48.2,1587507772,US,57.05,-135.33
69,kapaa,1,65,12.75,82.4,1587507773,US,22.08,-159.32
70,saskylakh,97,97,1.45,20.98,1587507561,RU,71.92,114.08
71,ocampo,63,6,4.16,85.1,1587507773,MX,21.65,-101.5
72,yellowknife,90,58,3.36,30.2,1587507774,CA,62.46,-114.35
73,upernavik,99,91,9.6,30.65,1587507774,GL,72.79,-56.15
74,champasak,83,86,2.8,75.79,1587507775,LA,14.75,106.0
75,yichang,100,68,4.36,54.23,1587507775,CN,30.71,111.28
76,anadyr,34,84,8.95,6.8,1587507775,RU,64.75,177.48
77,westport,40,62,11.41,52.0,1587507776,US,41.14,-73.36
78,salalah,53,74,3.36,82.4,1587507325,OM,17.02,54.09
79,nikolskoye,27,36,13.42,48.2,1587507777,RU,59.7,30.79
80,abja-paluoja,3,65,1.99,43.0,1587507777,EE,58.13,25.35
81,shu,3,47,6.35,59.2,1587507601,KZ,43.6,73.76
82,portland,90,62,3.36,61.0,1587507289,US,45.52,-122.68
83,bethel,90,75,10.29,48.99,1587507497,US,41.37,-73.41
84,cape town,0,93,3.36,57.99,1587507522,ZA,-33.93,18.42
85,lewiston,90,86,11.41,42.01,1587507779,US,44.1,-70.21
86,zachary,1,32,5.82,84.2,1587507779,US,30.65,-91.16
87,cidreira,0,74,5.64,70.65,1587507779,BR,-30.18,-50.21
88,aksu,100,37,4.63,59.2,1587507780,CN,41.12,80.26
89,marienburg,0,100,5.12,41.0,1587507781,PL,54.04,19.03
90,barabai,75,88,1.21,74.28,1587507781,ID,-2.58,115.38
91,tibiri,45,24,3.33,88.2,1587507781,NE,13.56,7.05
92,talnakh,40,86,11.18,33.8,1587507782,RU,69.49,88.4
93,coquimbo,75,82,5.82,62.6,1587507532,CL,-29.95,-71.34
94,hamilton,1,20,18.34,55.4,1587507783,US,39.18,-84.53
95,agadez,0,11,6.31,86.59,1587507783,NE,19.75,10.25
96,reynosa,75,55,11.41,89.6,1587507783,MX,26.08,-98.28
97,katsuura,75,76,12.75,59.0,1587507784,JP,35.13,140.3
98,hobyo,96,72,8.75,84.29,1587507784,SO,5.35,48.53
99,miri,75,100,2.24,77.0,1587507785,MY,4.41,114.01
100,lebu,70,50,10.98,59.81,1587507499,CL,-37.62,-73.65
101,hithadhoo,100,75,8.86,84.49,1587507540,MV,-0.6,73.08
102,matamoros,75,7,2.26,96.8,1587507786,MX,25.53,-103.25
103,noumea,7,73,3.36,79.0,1587507786,NC,-22.28,166.46
104,awjilah,0,38,9.44,75.09,1587507577,LY,29.11,21.29
105,adrar,0,13,6.85,81.63,1587507787,MR,20.5,-10.07
106,saint-philippe,20,73,4.7,71.6,1587507261,RE,-21.36,55.77
107,chokurdakh,99,97,1.36,22.15,1587507788,RU,70.63,147.92
108,wellington,28,72,18.34,60.8,1587507763,NZ,-41.29,174.78
109,micheweni,100,79,15.28,83.19,1587507788,TZ,-4.97,39.83
110,deneysville,0,27,8.48,55.87,1587507789,ZA,-26.89,28.1
111,kodiak,90,93,6.93,44.6,1587507411,US,57.79,-152.41
112,salmas,75,66,4.7,53.6,1587507789,IR,38.2,44.77
113,leningradskiy,60,89,5.17,13.06,1587507790,RU,69.38,178.42
114,guanica,0,60,1.99,84.0,1587507790,PR,17.97,-66.91
115,dargaville,2,82,1.68,59.81,1587507791,NZ,-35.93,173.88
116,ulagan,0,39,5.03,39.56,1587507791,RU,50.63,87.96
117,nanning,90,78,8.95,71.6,1587507616,CN,22.82,108.32
118,castro,1,52,1.12,62.24,1587507545,BR,-24.79,-50.01
119,bud,1,23,10.29,54.0,1587507792,US,39.45,-86.18
120,jamestown,90,74,24.16,30.99,1587507377,US,42.1,-79.24
121,coihaique,35,76,2.24,48.2,1587507793,CL,-45.58,-72.07
122,necochea,100,74,5.14,53.01,1587507654,AR,-38.55,-58.74
123,bilma,0,11,5.46,88.34,1587507794,NE,18.69,12.92
124,mar del plata,100,66,4.7,57.99,1587507675,AR,-38.0,-57.56
125,san ramon,1,46,8.05,75.2,1587507794,US,37.78,-121.98
126,bolshaya glushitsa,100,80,20.27,41.52,1587507795,RU,50.24,43.59
127,port elizabeth,33,87,9.17,60.8,1587507717,ZA,-33.92,25.57
128,urusha,0,86,5.14,16.84,1587507795,RU,54.05,122.9
129,marawi,69,83,7.0,73.99,1587507422,PH,8.0,124.29
130,saint-joseph,20,73,4.7,71.6,1587507796,RE,-21.37,55.62
131,sibu,75,94,3.36,75.2,1587507797,MY,2.3,111.82
132,padang,74,77,3.69,78.89,1587507797,ID,-0.95,100.35
133,rutana,87,62,2.39,58.87,1587507797,BI,-3.87,30.1
134,stabat,40,100,3.51,77.0,1587507798,ID,3.76,98.45
135,cloquet,40,14,11.41,44.6,1587507798,US,46.72,-92.46
136,joshimath,86,27,4.94,42.73,1587507798,IN,30.57,79.57
137,tuatapere,92,93,5.99,53.01,1587507799,NZ,-46.13,167.68
138,kaitangata,79,80,3.0,53.01,1587507799,NZ,-46.28,169.85
139,kavieng,100,73,2.44,83.5,1587507503,PG,-2.57,150.8
140,tiksi,100,93,1.99,19.04,1587507489,RU,71.69,128.87
141,geraldton,97,93,10.29,57.2,1587507508,AU,-28.77,114.6
142,qaanaaq,100,92,9.8,29.12,1587507800,GL,77.48,-69.36
143,seoul,1,41,15.12,42.8,1587507674,KR,37.57,126.98
144,hohhot,0,47,2.24,15.8,1587507801,CN,40.81,111.65
145,bambous virieux,15,76,5.99,75.99,1587507802,MU,-20.34,57.76
146,north bend,40,67,9.17,66.99,1587507802,US,43.41,-124.22
147,tommot,15,92,2.08,17.33,1587507803,RU,58.96,126.29
148,port alfred,98,90,3.0,64.0,1587507803,ZA,-33.59,26.89
149,kushiro,75,71,13.87,39.2,1587507803,JP,42.98,144.37
150,san policarpo,64,83,9.26,81.09,1587507804,PH,12.18,125.51
151,constitucion,54,39,10.36,66.69,1587507475,CL,-35.33,-72.42
152,narsaq,60,37,34.45,50.0,1587507804,GL,60.92,-46.05
153,along,100,70,1.25,64.67,1587507805,IN,28.17,94.77
154,fortuna,26,61,4.0,63.0,1587507805,US,40.6,-124.16
155,wamba,73,52,2.62,83.68,1587507805,NG,8.93,8.6
156,hofn,50,83,3.76,43.86,1587507449,IS,64.25,-15.21
157,georgetown,20,100,2.24,80.6,1587507806,MY,5.41,100.34
158,san quintin,1,62,25.28,64.85,1587507806,MX,30.48,-115.95
159,bathsheba,40,74,18.34,80.6,1587507807,BB,13.22,-59.52
160,abong mbang,14,66,1.45,71.94,1587507807,CM,3.98,13.18
161,maragogi,31,81,8.43,79.9,1587507807,BR,-9.01,-35.22
162,high level,75,76,10.29,51.8,1587507808,CA,58.52,-117.14
163,kargil,2,23,5.26,28.2,1587507808,IN,34.57,76.1
164,airai,16,70,3.33,60.12,1587507808,TL,-8.93,125.41
165,muromtsevo,100,88,7.05,50.67,1587507666,RU,56.37,75.24
166,hermanus,1,76,7.0,59.0,1587507390,ZA,-34.42,19.23
167,new norfolk,66,67,8.01,54.0,1587507809,AU,-42.78,147.06
168,khatanga,79,97,4.14,24.35,1587507810,RU,71.97,102.5
169,savannah bight,0,81,14.07,81.82,1587507810,HN,16.45,-85.85
170,cedar city,75,81,9.17,50.0,1587507718,US,37.68,-113.06
171,inhambane,0,83,9.33,73.6,1587507811,MZ,-23.86,35.38
172,saint-francois,100,76,0.85,53.6,1587507811,FR,46.42,3.91
173,port hardy,90,58,8.05,55.4,1587507644,CA,50.7,-127.42
174,castanos,99,21,5.99,99.0,1587507791,MX,26.78,-101.42
175,carnarvon,0,83,6.93,69.8,1587507812,AU,-24.87,113.63
176,quelimane,20,94,3.36,71.6,1587507813,MZ,-17.88,36.89
177,praia da vitoria,40,72,13.69,60.8,1587507813,PT,38.73,-27.07
178,dikson,100,97,14.63,31.89,1587507814,RU,73.51,80.55
179,norman wells,75,73,17.22,23.0,1587507712,CA,65.28,-126.83
180,qasigiannguit,0,69,5.82,33.8,1587507814,GL,68.82,-51.19
181,kayes,38,17,9.17,100.4,1587507815,ML,14.0,-11.0
182,boyuibe,35,38,5.66,82.63,1587507815,BO,-20.42,-63.28
183,walvis bay,22,72,4.7,64.4,1587507816,NA,-22.96,14.51
184,suntar,98,97,5.28,27.34,1587507538,RU,62.14,117.63
185,pokrovsk,8,66,6.69,39.7,1587507817,UA,48.28,37.18
186,hasaki,75,87,6.93,54.0,1587507817,JP,35.73,140.83
187,makakilo city,75,69,10.29,80.6,1587507545,US,21.35,-158.09
188,biak,90,73,3.51,80.6,1587507818,ID,-0.91,122.88
189,rocha,86,77,8.57,63.48,1587507818,UY,-34.48,-54.33
190,peniche,34,78,8.99,59.0,1587507587,PT,39.36,-9.38
191,antofagasta,20,72,11.41,64.4,1587507797,CL,-23.65,-70.4
192,ponta do sol,40,59,6.93,60.8,1587507820,PT,32.67,-17.1
193,jiaozuo,63,40,7.45,50.04,1587507820,CN,35.24,113.23
194,sorland,40,93,4.72,37.4,1587507820,NO,67.67,12.69
195,karratha,50,55,15.7,84.0,1587507821,AU,-20.74,116.85
196,oussouye,0,78,9.17,78.8,1587507821,SN,12.48,-16.55
197,sao joao do piaui,87,79,3.62,77.85,1587507822,BR,-8.36,-42.25
198,kangaatsiaq,5,91,11.74,31.73,1587507822,GL,68.31,-53.46
199,santa maria,0,51,1.34,72.19,1587507713,BR,-29.68,-53.81
200,barrow,90,78,11.41,14.0,1587507823,US,71.29,-156.79
201,vostok,100,93,2.64,23.07,1587507823,RU,46.49,135.88
202,tigil,0,92,3.76,13.57,1587507823,RU,57.8,158.67
203,ixtapa,40,73,11.41,77.0,1587507609,MX,20.7,-105.2
204,cockburn town,35,77,7.23,79.77,1587507600,TC,21.46,-71.14
205,nelson bay,0,63,14.99,71.01,1587507825,AU,-32.72,152.15
206,sao filipe,0,78,17.52,72.72,1587507825,CV,14.9,-24.5
207,bonavista,100,93,20.56,32.72,1587507570,CA,48.65,-53.11
208,store heddinge,0,81,5.82,48.0,1587507826,DK,55.31,12.39
209,yatou,6,60,19.15,41.59,1587507826,CN,37.15,122.38
210,asadabad,0,36,2.95,53.73,1587507827,IR,34.78,48.12
211,monroe,75,44,21.92,39.0,1587507746,US,43.15,-77.68
212,kahului,20,42,11.41,84.2,1587507827,US,20.89,-156.47
213,stokmarknes,73,87,5.73,39.0,1587507828,NO,68.56,14.91
214,kortkeros,94,97,6.71,32.0,1587507546,RU,61.81,51.58
215,altay,0,29,10.67,50.25,1587507829,CN,47.87,88.12
216,pisco,0,64,18.34,73.4,1587507829,PE,-13.7,-76.22
217,pangai,20,78,12.75,82.4,1587507829,TO,-19.8,-174.35
218,sarandi,9,50,2.59,70.43,1587507830,BR,-23.44,-51.87
219,oistins,40,74,18.34,80.6,1587507830,BB,13.07,-59.53
220,natalio,0,38,1.74,77.72,1587507831,PY,-26.72,-55.08
221,linhares,16,88,4.9,72.16,1587507831,BR,-19.39,-40.07
222,san ramon de la nueva oran,0,39,3.2,86.52,1587507831,AR,-23.13,-64.33
223,roald,14,81,3.36,48.99,1587507832,NO,62.58,6.13
224,klamath falls,75,36,14.99,66.99,1587507832,US,42.22,-121.78
225,kayerkan,40,86,11.18,33.8,1587507833,RU,69.35,87.76
226,kruisfontein,84,75,4.65,60.21,1587507833,ZA,-34.0,24.73
227,kasongo-lunda,100,79,1.92,69.64,1587507834,CD,-6.47,16.82
228,la ronge,75,74,14.99,35.6,1587507834,CA,55.1,-105.28
229,margherita,100,80,1.32,68.11,1587507834,IN,27.28,95.68
230,bowen,12,88,8.05,75.2,1587507835,AU,-20.02,148.23
